STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
725053,94728, 20130317,   33.0,24,   20.0,24, 1017.5,24, 1011.9,24,   9.8,24,   4.6,23,   8.9,  19.0,   37.9 ,  28.9 , 0.12G,999.9, 000000,
725053,94728, 20130318,   32.1,24,   14.1,24, 1026.9,21, 1021.3,24,   8.6,24,   7.5,23,  13.0,  21.0,   36.0 ,  28.0 , 0.00G,999.9, 101000,
725053,94728, 20130319,   36.0,24,   32.2,24, 1010.2,19, 1005.0,24,   6.5,24,   8.8,24,  19.0,  28.9,   43.0*,  30.2*, 0.81G,999.9, 011000,
725053,94728, 20130320,   38.5,24,   18.9,24, 1010.0,24, 1005.1,24,  10.0,24,   7.2,21,  12.0,  24.1,   45.0 ,  32.0 , 0.20G,  2.0, 000000,
725053,94728, 20130321,   35.7,24,   16.0,24, 1007.2,24, 1002.3,24,   9.8,24,   4.8,21,   8.9, 999.9,   43.0 ,  30.9 , 0.00G,999.9, 001000,
725053,94728, 20130322,   34.0,24,   13.9,24, 1007.8,24, 1002.8,24,  10.0,24,   7.5,22,  12.0,  22.0,   41.0 ,  28.0 , 0.00G,999.9, 000000,
725053,94728, 20130323,   38.4,24,   17.6,24, 1011.0,24, 1006.1,24,  10.0,24,   8.3,24,  12.0,  22.9,   46.0 ,  32.0 , 0.00G,999.9, 000000,
725053,94728, 20130324,   39.1,24,   18.2,24, 1011.1,24, 1006.2,24,  10.0,24,   5.7,23,  12.0,  18.1,   46.9 ,  33.1 , 0.00G,999.9, 000000,
725053,94728, 20130325,   38.3,24,   27.7,24, 1003.1,19,  997.4,24,   8.9,24,   6.5,24,  20.0,  28.0,   41.0 ,  36.0 , 0.00G,999.9, 011000,
725053,94728, 20130326,   42.2,24,   27.3,24, 1005.1,24,  999.8,24,   9.7,24,   4.5,24,   8.9,  15.9,   53.1 ,  37.0 , 0.17G,999.9, 010000,
725053,94728, 20130327,   43.8,24,   22.7,24, 1011.8,24, 1006.9,24,  10.0,24,   4.8,20,   8.9,  14.0,   51.1 ,  36.0 , 0.00G,999.9, 000000,
725053,94728, 20130328,   43.3,24,   27.8,24, 1015.4,24, 1010.5,24,  10.0,24,   4.7,21,   8.9, 999.9,   51.1 ,  37.0 , 0.00G,999.9, 000000,
725053,94728, 20130329,   46.7,24,   26.4,24, 1019.3,24, 1014.3,24,  10.0,24,   5.7,24,  12.0,  21.0,   55.0 ,  39.9 , 0.00G,999.9, 000000,
725053,94728, 20130330,   48.0,24,   24.5,24, 1019.9,24, 1015.0,24,  10.0,24,   3.8,24,   8.0, 999.9,   59.0 ,  39.9 , 0.00G,999.9, 000000,
725053,94728, 20130331,   49.3,24,   29.7,24, 1017.0,24, 1012.1,24,   9.7,24,   4.6,24,  12.0,  21.0,   54.0 ,  44.1 , 0.00G,999.9, 010000,
725053,94728, 20130401,   49.3,24,   40.8,24, 1005.4,19, 1000.5,24,   6.8,24,   5.7,23,  12.0,  27.0,   62.1 ,  44.1 , 0.08G,999.9, 010000,
725053,94728, 20130402,   38.0,24,   10.9,24, 1014.3,24, 1009.3,24,  10.0,24,   8.5,19,  17.1,  26.0,   46.9 ,  33.1 , 0.00G,999.9, 000000,
725053,94728, 20130403,   38.4,24,    9.5,24, 1019.7,24, 1014.8,24,  10.0,24,   8.9,24,  13.0,  24.1,   46.0 ,  33.1 , 0.00G,999.9, 000000,
725053,94728, 20130404,   39.9,24,   16.4,24, 1025.2,24, 1020.3,24,  10.0,24,   6.1,22,  12.0,  25.1,   53.1 ,  33.1 , 0.00G,999.9, 000000,
